article_id,expr_type,value,offset
1655.txt,part-relative-year/month/week,began five years,4870
1655.txt,part-relative-year/month/week,summit this year,4905
1655.txt,part-relative-year/month/week,next 12 months,5750
1133.txt,month,March,306
1133.txt,month,January,501
1133.txt,month,January,558
1133.txt,dayofweek,Friday,1086
1133.txt,year,2003,1832
1133.txt,part-relative-year/month/week,earlier this year,860
1669.txt,month,September,2179
1669.txt,part-relative-year/month/week,last three months,167
1669.txt,part-relative-year/month/week,previous three months,1693
470.txt,month,July,308
470.txt,year,2002,480
470.txt,month-year,January 2004,412
470.txt,month-year,January 2005,1096
470.txt,relative-year/month/week,last month,382
470.txt,relative-year/month/week,on year,765
470.txt,part-relative-year/month/week,to last year,154
470.txt,part-relative-year/month/week,the first month,281
470.txt,part-relative-year/month/week,in a year,755
470.txt,part-relative-year/month/week,with last year,1118
316.txt,month,May,1044
316.txt,year,2005,142
316.txt,relative-year/month/week,Eighteen months,652
316.txt,part-relative-year/month/week,target for years,933
1682.txt,year,2005,310
1682.txt,year,1974,2582
1696.txt,year,1995,1132
1696.txt,year,2006,2222
1696.txt,part-relative-year/month/week,laptops three years,1706
1696.txt,part-relative-year/month/week,phones a year,1994
1696.txt,part-relative-year/month/week,or five years,2131
1696.txt,part-relative-year/month/week,talking about months,2152
1696.txt,part-relative-year/month/week,child per year,2361
1696.txt,part-relative-year/month/week,or six years,2406
302.txt,month,November,249
302.txt,month,May,1164
302.txt,year,2002,3163
302.txt,part-of-decade,the mid 1990s,2973
302.txt,part-relative-year/month/week,in recent months,993
302.txt,part-relative-year/month/week,every three years,1231
302.txt,part-relative-year/month/week,1bn a year,1899
302.txt,part-relative-year/month/week,Cuba every year,2261
302.txt,part-relative-year/month/week,last ten years,2434
464.txt,year,2004,629
464.txt,part-relative-year/month/week,for this year,682
458.txt,month,June,212
458.txt,month,March,633
458.txt,month,September,1301
458.txt,year,2004,146
459.txt,part-relative-year/month/week,Kampala this weekend,124
303.txt,dayofweek,Monday,1183
303.txt,dayofweek,Monday,1374
303.txt,month-year,June 2004,1663
303.txt,part-relative-year/month/week,Earlier this month,957
303.txt,part-relative-year/month/week,cited last year,1550
303.txt,part-relative-year/month/week,during the year,2593
1697.txt,dayofweek,Sun,0
1697.txt,dayofweek,Sun,35
1697.txt,dayofweek,Sun,172
1697.txt,dayofweek,Sun,279
1697.txt,dayofweek,Sun,441
1697.txt,dayofweek,Sun,605
1697.txt,dayofweek,Sun,754
1697.txt,dayofweek,Sun,1069
1697.txt,dayofweek,Sun,1422
1697.txt,dayofweek,Sun,1480
1697.txt,dayofweek,Sun,1788
465.txt,month,October,936
465.txt,dayofweek,Monday,1100
465.txt,year,1997,422
465.txt,year,2004,607
465.txt,month-year,June 2003,593
465.txt,part-relative-year/month/week,last 10 years,1173
471.txt,year,1922,356
471.txt,year,1961,1418
471.txt,year,1971,3235
471.txt,year,1999,3294
471.txt,year,2001,3478
471.txt,year,2002,4017
471.txt,year,2004,4039
471.txt,relative-year/month/week,Some years,3075
471.txt,part-relative-year/month/week,than 20 years,617
471.txt,part-relative-year/month/week,copies a year,3187
471.txt,part-relative-year/month/week,last five years,3939
1683.txt,month,November,1941
1683.txt,year,2004,110
1683.txt,part-relative-year/month/week,the last year,263
317.txt,year,2004,97
317.txt,year,2004,1690
317.txt,year,2005,1910
317.txt,part-relative-year/month/week,last three months,76
317.txt,part-relative-year/month/week,previous three month,231
317.txt,part-relative-year/month/week,in two years,357
317.txt,part-relative-year/month/week,in previous years,1424
317.txt,part-relative-year/month/week,for a year,1564
1668.txt,month,November,209
1654.txt,day-month,24 March,460
1132.txt,dayofweek,Thursday,2845
1132.txt,year,2004,1166
1132.txt,year,1976,2171
1132.txt,year,2002,2526
1132.txt,year,2000,2779
1132.txt,year,2003,3051
1132.txt,year,1999,3154
1132.txt,part-relative-year/month/week,Open last year,610
1132.txt,part-relative-year/month/week,in the year,737
1132.txt,part-relative-year/month/week,in last year,1700
1132.txt,part-relative-year/month/week,Open last year,2383
1132.txt,part-relative-year/month/week,final two years,2922
1126.txt,dayofweek,Saturday,164
1126.txt,dayofweek,Saturday,518
1640.txt,dayofweek,Monday,226
1640.txt,dayofweek,Monday,346
1640.txt,year,2003,582
1640.txt,part-relative-year/month/week,the last year,1095
883.txt,month,April,1221
883.txt,day-month,23 March,497
883.txt,day-month,23 March,2097
883.txt,part-relative-year/month/week,place this weekend,120
883.txt,part-relative-year/month/week,would allow months,1024
883.txt,part-relative-year/month/week,extra five years,1855
129.txt,dayofweek,Tuesday,921
129.txt,dayofweek,Monday,954
129.txt,month-year,July 2003,878
129.txt,part-relative-year/month/week,past five years,1129
129.txt,part-relative-year/month/week,companies this year,1218
129.txt,part-relative-year/month/week,uncovered this year,1363
897.txt,month,September,1882
897.txt,part-relative-year/month/week,July this year,997
897.txt,part-relative-year/month/week,least 15 years,1101
897.txt,part-relative-year/month/week,taking five years,1308
897.txt,part-relative-year/month/week,Blunkett last year,1386
897.txt,part-relative-year/month/week,get five years,2321
667.txt,year,1999,1169
667.txt,year,2001,1204
667.txt,day-month,25 January,552
667.txt,day-month-year,27 February 2005,482
667.txt,part-relative-year/month/week,broadcast this year,70
667.txt,part-relative-year/month/week,from three years,120
667.txt,part-relative-year/month/week,be a month,693
667.txt,part-relative-year/month/week,of the year,1040
667.txt,part-relative-year/month/week,at this year,1474
1495.txt,year,1991,142
1495.txt,year,1956,406
1495.txt,year,1731,1046
1495.txt,year,1761,1096
1495.txt,year,1900,1151
1495.txt,year,1983,1618
1495.txt,year,1891,1807
1495.txt,part-of-decade,the early 1980s,5067
1495.txt,relative-year/month/week,000 years,2380
1495.txt,part-relative-year/month/week,mine 12 years,7265
101.txt,dayofweek,Wednesday,69
101.txt,dayofweek,Sunday,642
101.txt,dayofweek,Wednesday,1312
101.txt,dayofweek,Tuesday,1787
115.txt,month,December,25
115.txt,month,December,101
115.txt,month,December,547
115.txt,month,December,701
115.txt,month,December,938
115.txt,month,September,2348
115.txt,year,1999,363
115.txt,year,2001,1812
115.txt,year,2002,1821
115.txt,year,2001,1985
115.txt,year,2001,2421
115.txt,relative-year/month/week,a month,208
115.txt,relative-year/month/week,a year,1999
115.txt,part-relative-year/month/week,ended the year,51
115.txt,part-relative-year/month/week,in the month,177
115.txt,part-relative-year/month/week,for the year,306
115.txt,part-relative-year/month/week,for the month,732
115.txt,part-relative-year/month/week,for the year,776
115.txt,part-relative-year/month/week,on the month,983
115.txt,part-relative-year/month/week,in recent years,1774
1481.txt,year,1998,669
1481.txt,year,3500,2391
1481.txt,part-relative-year/month/week,almost two years,89
673.txt,dayofweek,Sunday,100
673.txt,dayofweek,Tuesday,273
673.txt,dayofweek,Sunday,543
673.txt,year,1958,645
673.txt,month-year,June 2002,489
673.txt,relative-year/month/week,27 years,108
840.txt,year,1994,230
698.txt,month,November,1008
854.txt,day-month-year,17 March 2003,3739
1318.txt,dayofweek,Saturday,120
1318.txt,year,1994,1709
1318.txt,part-relative-year/month/week,Italy last weekend,593
1318.txt,part-relative-year/month/week,couple of years,1757
14.txt,month,December,95
14.txt,month,December,316
14.txt,month,November,333
14.txt,year,2004,218
14.txt,year,2004,482
14.txt,year,1971,599
14.txt,year,2004,1132
14.txt,part-relative-year/month/week,the second month,66
14.txt,part-relative-year/month/week,last three months,197
14.txt,part-relative-year/month/week,in the year,301
14.txt,part-relative-year/month/week,200 last month,455
14.txt,part-relative-year/month/week,of last year,1215
14.txt,part-relative-year/month/week,rates this year,1329
1330.txt,dayofweek,Wednesday,637
1330.txt,dayofweek,Wednesday,694
1330.txt,year,1998,662
1456.txt,dayofweek,Saturday,136
1442.txt,month,March,952
1442.txt,dayofweek,Monday,240
1442.txt,year,2002,1358
1442.txt,part-relative-year/month/week,first three months,536
1442.txt,part-relative-year/month/week,playing next month,999
1442.txt,part-relative-year/month/week,for two months,1274
868.txt,month,November,272
868.txt,dayofweek,Thursday,804
868.txt,dayofweek,Thursday,2365
868.txt,part-relative-year/month/week,for eight months,2526
1324.txt,month,September,1229
1324.txt,month,November,1752
1324.txt,dayofweek,Saturday,162
1324.txt,dayofweek,Wednesday,1106
1324.txt,year,2005,1184
28.txt,year,2004,245
28.txt,year,2001,765
28.txt,year,2002,1047
28.txt,year,2004,1150
28.txt,part-relative-year/month/week,246bn the year,261
28.txt,part-relative-year/month/week,past two years,1336
28.txt,part-relative-year/month/week,during the year,1375
1287.txt,month,June,231
1287.txt,month,February,343
1287.txt,dayofweek,Monday,591
1287.txt,year,2003,548
713.txt,month,March,1251
713.txt,year,1969,681
713.txt,part-relative-year/month/week,was 15 years,309
713.txt,part-relative-year/month/week,later this month,1211
707.txt,year,2001,496
707.txt,year,1995,1150
1293.txt,dayofweek,Tuesday,888
1278.txt,month-year,October 18,2348
934.txt,year,1945,1382
934.txt,day-month,27 January,282
920.txt,year,1994,262
920.txt,year,2000,271
920.txt,year,2000,2182
920.txt,year,1994,2203
920.txt,year,2006,2551
920.txt,year,2006,3083
1244.txt,month,October,636
1244.txt,month,December,963
1244.txt,dayofweek,Tuesday,525
1244.txt,year,3000,193
908.txt,part-relative-year/month/week,beyond six months,69
908.txt,part-relative-year/month/week,to six months,478
908.txt,part-relative-year/month/week,first six months,672
908.txt,part-relative-year/month/week,second six months,698
908.txt,part-relative-year/month/week,EOC last year,2739
1522.txt,year,1991,142
1522.txt,year,1956,406
1522.txt,year,1731,1018
1522.txt,year,1761,1068
1522.txt,year,1900,1123
1522.txt,year,1983,1591
1522.txt,year,1891,1780
1522.txt,part-of-decade,the early 1980s,3362
1522.txt,part-relative-year/month/week,mine 12 years,5560
1536.txt,part-relative-year/month/week,couple of months,2712
1536.txt,part-relative-year/month/week,the coming year,3810
1250.txt,dayofweek,Saturday,165
1250.txt,dayofweek,Saturday,1794
1250.txt,year,2003,1132
1250.txt,year,2005,2778
1250.txt,part-relative-year/month/week,last few years,468
1250.txt,part-relative-year/month/week,right this weekend,1675
1250.txt,part-relative-year/month/week,of last year,2704
539.txt,dayofweek,Sunday,142
539.txt,year,1993,828
539.txt,decade,the 1980s,3549
539.txt,part-relative-year/month/week,nominations this year,2314
539.txt,part-relative-year/month/week,died last year,2408
539.txt,part-relative-year/month/week,waiting 15 years,2667
277.txt,month,October,523
277.txt,part-relative-year/month/week,of next year,1717
511.txt,year,2046,1074
511.txt,day-month,20 March,319
511.txt,part-relative-year/month/week,their second year,166
511.txt,part-relative-year/month/week,following last weekend,593
1085.txt,month,March,1059
1085.txt,part-relative-year/month/week,race last year,186
1091.txt,dayofweek,Saturday,89
1091.txt,dayofweek,Thursday,1051
1091.txt,year,2004,338
1091.txt,relative-year/month/week,this weekend,1187
1091.txt,part-relative-year/month/week,at the weekend,196
1091.txt,part-relative-year/month/week,in a year,228
505.txt,year,2000,610
505.txt,part-relative-year/month/week,at the weekend,316
505.txt,part-relative-year/month/week,its first weekend,958
505.txt,part-relative-year/month/week,the previous weekend,1340
263.txt,year,2004,18
263.txt,year,2004,97
263.txt,year,2004,240
263.txt,year,2004,642
263.txt,year,1998,844
263.txt,part-relative-year/month/week,the previous year,110
288.txt,year,2004,1484
288.txt,part-relative-year/month/week,working last year,1462
1708.txt,month,February,1098
1720.txt,part-relative-year/month/week,next few months,1120
1720.txt,part-relative-year/month/week,15 per month,1386
1720.txt,part-relative-year/month/week,than three years,2058
1720.txt,part-relative-year/month/week,play next month,2324
1720.txt,part-relative-year/month/week,99 per month,2504
1720.txt,part-relative-year/month/week,50 per year,2521
1046.txt,month,February,755
1046.txt,month,February,1568
1046.txt,part-relative-year/month/week,known next month,1467
1052.txt,dayofweek,Sunday,2180
1052.txt,year,0900,2168
1052.txt,part-relative-year/month/week,team this year,1179
1734.txt,year,2003,287
1734.txt,year,2005,486
1734.txt,year,2005,2119
1734.txt,year,2005,2300
1734.txt,year,2004,2879
1734.txt,year,2009,2938
1734.txt,relative-year/month/week,This year,2740
1734.txt,part-relative-year/month/week,sold last year,181
1734.txt,part-relative-year/month/week,couple of years,920
1734.txt,part-relative-year/month/week,July last year,3151
1734.txt,part-relative-year/month/week,the coming year,3637
1044.txt,year,2001,780
1044.txt,year,2006,924
1044.txt,year,1975,1043
1044.txt,part-relative-year/month/week,held 30 years,365
1722.txt,part-relative-year/month/week,arcades four years,278
1722.txt,part-relative-year/month/week,joypad this year,366
1736.txt,month,February,726
1736.txt,month,September,828
1736.txt,dayofweek,Sunday,1043
1736.txt,year,2003,411
1050.txt,decade,the 1960s,2345
1050.txt,part-relative-year/month/week,infections last year,2648
1078.txt,month,June,540
1078.txt,month,July,545
1078.txt,month,June,1468
1078.txt,dayofweek,Saturday,198
1078.txt,dayofweek,Saturday,1128
1078.txt,dayofweek,Saturday,1852
1078.txt,dayofweek,Saturday,2617
1078.txt,year,1400,2605
1078.txt,part-relative-year/month/week,tour next month,550
1078.txt,part-relative-year/month/week,appointed last year,586
513.txt,part-relative-year/month/week,at last year,281
513.txt,part-relative-year/month/week,highest opening weekend,398
513.txt,part-relative-year/month/week,at this year,915
275.txt,month,February,87
275.txt,dayofweek,Tuesday,441
275.txt,dayofweek,Monday,456
275.txt,year,2000,274
275.txt,year,2000,736
275.txt,year,2003,1173
261.txt,dayofweek,Thursday,218
507.txt,dayofweek,Saturday,197
507.txt,dayofweek,Saturday,530
507.txt,year,2004,426
507.txt,month-year,October 1996,955
507.txt,part-of-decade,the early 1990s,1293
1093.txt,dayofweek,Wednesday,587
1093.txt,dayofweek,Tuesday,824
1093.txt,day-month,17 December,341
249.txt,month,September,266
249.txt,month,February,622
249.txt,month,November,1128
249.txt,month,October,1425
249.txt,dayofweek,Thursday,997
249.txt,dayofweek,Thursday,2077
249.txt,year,3516,171
249.txt,year,3509,222
249.txt,year,2002,1778
249.txt,year,2005,2310
249.txt,year,2005,2444
249.txt,relative-year/month/week,last month,1340
249.txt,part-relative-year/month/week,released showing year,1051
249.txt,part-relative-year/month/week,third consecutive year,2212
249.txt,part-relative-year/month/week,finishing the year,2330
249.txt,part-relative-year/month/week,finishing the year,2450
1520.txt,dayofweek,Wednesday,1136
1520.txt,month-year,April 2004,2656
1520.txt,part-relative-year/month/week,of the year,2747
1520.txt,part-relative-year/month/week,earlier this month,2833
1246.txt,dayofweek,Saturday,81
1246.txt,dayofweek,Saturday,1975
1246.txt,year,1978,183
1246.txt,year,2003,2122
1246.txt,decade,the 1970s,400
1246.txt,decade,the 1970s,3134
1246.txt,decade,the 1970s,3790
1246.txt,part-relative-year/month/week,Paris two years,2036
1252.txt,dayofweek,Wednesday,140
1252.txt,dayofweek,Wednesday,2611
1252.txt,year,2000,277
1252.txt,year,2000,1188
1252.txt,year,1998,1440
1252.txt,year,2003,1608
1252.txt,year,2000,1912
1252.txt,year,1998,2122
1252.txt,year,2000,2141
1252.txt,year,1993,2205
1252.txt,year,1994,2230
1252.txt,year,2000,2287
1252.txt,part-relative-year/month/week,tie five years,559
1534.txt,year,2004,446
1534.txt,part-relative-year/month/week,be this year,348
1534.txt,part-relative-year/month/week,London this weekend,604
936.txt,month,February,420
936.txt,year,2006,58
936.txt,year,1917,316
936.txt,year,1998,719
936.txt,year,2002,786
936.txt,relative-year/month/week,For years,498
936.txt,part-relative-year/month/week,The following year,792
936.txt,part-relative-year/month/week,a two year,864
922.txt,month,May,493
922.txt,dayofweek,Monday,135
922.txt,dayofweek,Monday,449
922.txt,part-relative-year/month/week,at the weekend,272
922.txt,part-relative-year/month/week,seat this weekend,345
1508.txt,day-month,16 November,523
711.txt,dayofweek,Wednesday,337
711.txt,year,2003,1010
711.txt,year,1965,2120
711.txt,year,2003,2125
711.txt,day-month,11 September,1898
711.txt,decade,the 1920s,1740
711.txt,relative-year/month/week,Last year,935
711.txt,relative-year/month/week,This year,1176
711.txt,part-relative-year/month/week,the second year,820
711.txt,part-relative-year/month/week,interest this year,1782
1285.txt,month,November,1091
1285.txt,dayofweek,Saturday,92
1285.txt,part-relative-year/month/week,from last weekend,901
1291.txt,month,March,2094
1291.txt,dayofweek,Friday,2084
1291.txt,year,1030,2157
1291.txt,year,1330,2258
1291.txt,part-relative-year/month/week,have the weekend,1037
1291.txt,part-relative-year/month/week,seeing all year,1159
739.txt,month,May,1761
739.txt,dayofweek,Monday,270
739.txt,dayofweek,Tuesday,2260
1454.txt,dayofweek,Friday,951
1454.txt,year,2001,320
1454.txt,year,1993,1407
1454.txt,year,1997,1490
1454.txt,year,2001,1499
1454.txt,decade,the 15s,871
1454.txt,part-relative-year/month/week,Kong next month,149
1454.txt,part-relative-year/month/week,last three years,1028
1332.txt,dayofweek,Friday,368
1326.txt,part-relative-year/month/week,finalist last year,515
1440.txt,dayofweek,Friday,323
1440.txt,part-relative-year/month/week,last 12 months,1000
1468.txt,part-relative-year/month/week,contrast last year,271
1468.txt,part-relative-year/month/week,last few years,560
842.txt,month,September,964
842.txt,dayofweek,Friday,1470
842.txt,dayofweek,Thursday,1865
842.txt,year,1949,1510
842.txt,day-month,18 February,464
842.txt,part-relative-year/month/week,Court last month,1679
16.txt,dayofweek,Sunday,855
16.txt,dayofweek,Sunday,2658
16.txt,part-of-decade,the early 1990s,1161
16.txt,part-relative-year/month/week,at his year,918
16.txt,part-relative-year/month/week,than a year,1565
856.txt,dayofweek,Friday,254
856.txt,dayofweek,Saturday,321
856.txt,dayofweek,Saturday,560
103.txt,year,2005,10
103.txt,year,2004,110
103.txt,year,2005,352
103.txt,year,2004,389
103.txt,year,2004,576
103.txt,year,2005,954
103.txt,year,2004,1180
103.txt,year,2004,1527
103.txt,year,2007,1724
103.txt,day-month,19 January,593
103.txt,part-relative-year/month/week,earnings this year,74
103.txt,part-relative-year/month/week,share this year,669
103.txt,part-relative-year/month/week,that next year,703
103.txt,part-relative-year/month/week,well this year,1560
1497.txt,year,2000,664
665.txt,dayofweek,Friday,412
665.txt,year,1988,270
665.txt,year,1969,907
671.txt,year,2005,1441
671.txt,decade,the 1980s,307
671.txt,part-relative-year/month/week,the first year,1449
117.txt,day-month,31 December,176
117.txt,relative-year/month/week,Last month,1640
117.txt,part-relative-year/month/week,the six months,154
117.txt,part-relative-year/month/week,from a year,226
117.txt,part-relative-year/month/week,in coming months,829
117.txt,part-relative-year/month/week,previous 12 months,1290
117.txt,part-relative-year/month/week,first six months,1509
117.txt,part-relative-year/month/week,the fiscal year,1529
117.txt,part-relative-year/month/week,the full year,1625
881.txt,month,October,1737
881.txt,year,1989,2017
881.txt,part-relative-year/month/week,apologise last year,911
659.txt,month,February,612
659.txt,month,September,765
895.txt,part-relative-year/month/week,in recent years,1193
1130.txt,dayofweek,Monday,162
1130.txt,dayofweek,Saturday,228
1130.txt,day-month,13 March,531
1130.txt,decade,the 1970s,1274
1130.txt,part-relative-year/month/week,in 27 years,340
1656.txt,month,December,2073
1656.txt,year,2003,231
1656.txt,part-relative-year/month/week,online this year,728
1656.txt,part-relative-year/month/week,before this year,2626
1642.txt,month-year,September 2004,2983
1642.txt,month-year,September 2005,3117
1642.txt,part-relative-year/month/week,times a year,627
1642.txt,part-relative-year/month/week,issued each year,1272
1124.txt,dayofweek,Saturday,976
1124.txt,day-month,13 March,576
498.txt,dayofweek,Friday,901
498.txt,part-relative-year/month/week,at the weekend,1020
467.txt,dayofweek,Tuesday,325
467.txt,day-month,16 July,148
467.txt,day-month,25 December,373
467.txt,month-year,June 2003,674
467.txt,part-relative-year/month/week,s sixth year,1091
467.txt,part-relative-year/month/week,for 13 years,1352
1695.txt,dayofweek,Monday,272
1695.txt,year,2006,846
1695.txt,part-relative-year/month/week,for three years,234
1695.txt,part-relative-year/month/week,televisions next year,904
1695.txt,part-relative-year/month/week,later this year,990
1695.txt,part-relative-year/month/week,Later this year,1268
301.txt,dayofweek,Thursday,1906
301.txt,year,2004,239
301.txt,year,2003,731
301.txt,year,2005,1468
301.txt,part-relative-year/month/week,the past year,1219
315.txt,dayofweek,Wednesday,435
315.txt,dayofweek,Wednesday,2080
315.txt,part-relative-year/month/week,next six months,1011
315.txt,part-relative-year/month/week,in recent years,2217
1681.txt,month,January,4198
1681.txt,dayofweek,Wednesday,391
1681.txt,dayofweek,Tuesday,1690
1681.txt,year,2004,1623
1681.txt,year,2004,1768
1681.txt,year,2003,1835
1681.txt,year,2004,1844
1681.txt,year,2005,1997
1681.txt,year,2004,2039
1681.txt,year,2005,3888
1681.txt,relative-year/month/week,This year,2165
1681.txt,part-relative-year/month/week,the next year,245
1681.txt,part-relative-year/month/week,of this year,482
1681.txt,part-relative-year/month/week,story this year,1112
1681.txt,part-relative-year/month/week,a phenomenal year,1602
1681.txt,part-relative-year/month/week,the next year,2513
1681.txt,part-relative-year/month/week,the coming year,2949
473.txt,year,1979,460
473.txt,year,1968,510
473.txt,year,1975,519
473.txt,year,2000,1160
473.txt,year,1994,1193
473.txt,part-relative-year/month/week,close next month,105
